date,AQI
2014/12/22,321
2014/12/23,329
2014/12/24,316
2014/12/25,355
2014/12/26,220
2014/12/27,187
2014/12/28,183
2014/12/29,311
2015/1/1,314
2015/1/2,305
2015/1/3,333
2015/1/4,341
2015/1/5,352
2015/1/6,329
2015/1/7,321
2015/1/8,270
2015/1/9,328
2015/1/10,365
2015/1/11,378
2015/1/12,396
2015/1/13,153
2015/1/14,147
2015/1/15,175
2015/1/16,332
2015/1/17,348
2015/1/18,324
2015/1/19,321
2015/1/20,334
2015/1/21,243
2015/1/22,340
2015/1/23,355
2015/1/24,347
2015/1/25,345
2015/1/26,352
2015/1/27,347
2015/1/28,304
2015/1/29,160
2015/1/30,162
2015/1/31,325
2015/2/1,267
2015/2/2,167
2015/2/3,207
2015/2/4,293
2015/2/5,384
2015/2/6,344
2015/2/7,331
2015/2/8,345
2015/2/9,277
2015/2/10,230
2015/2/11,320
2015/2/12,329
2015/2/13,378
2015/2/14,308
2015/2/15,313
2015/2/16,317
2015/2/17,345
2015/2/18,352
2015/2/19,318
2015/2/20,153
2015/2/21,175
2015/2/22,308
2015/2/23,351
2015/2/24,314
2015/2/25,305
2015/2/26,177
2015/2/27,305
2015/2/28,167
2015/3/1,175
2015/3/2,325
2015/3/3,344
2015/3/4,329
2015/3/5,160
2015/3/6,150
2015/3/7,203
2015/3/8,240
2015/3/9,193
2015/3/10,263
2015/3/11,162
2015/3/12,302
2015/3/13,327
2015/3/14,336
2015/3/15,342
2015/3/16,315
2015/3/17,213
2015/3/18,240
2015/3/19,308
2015/3/20,327
2015/3/21,324
2015/3/22,336
2015/3/23,309
2015/3/24,163
2015/3/25,125
2015/3/26,133
2015/3/27,163
2015/3/28,197
2015/3/29,333
2015/3/30,260
2015/3/31,312
2015/4/1,304
2015/4/2,227
2015/4/3,322
2015/4/4,305
2015/4/5,312
2015/4/6,113
2015/4/7,163
2015/4/8,203
2015/4/9,173
2015/4/10,300
2015/4/11,297
2015/4/12,312
2015/4/13,305
2015/4/14,322
2015/4/15,327
2015/4/16,325
2015/4/17,220
2015/4/18,317
2015/4/19,348
2015/4/20,302
2015/4/21,260
2015/4/22,327
2015/4/23,324
2015/4/24,314
2015/4/25,322
2015/4/26,308
2015/4/27,305
2015/4/28,328
2015/4/29,302
2015/4/30,323
2015/5/1,293
2015/5/2,306
2015/5/3,314
2015/5/4,319
2015/5/5,147
2015/5/6,263
2015/5/7,307
2015/5/8,203
2015/5/9,170
2015/5/10,250
2015/5/11,193
2015/5/12,306
2015/5/13,301
2015/5/14,307
2015/5/15,283
2015/5/16,302
2015/5/17,280
2015/5/18,305
2015/5/19,329
2015/5/20,301
2015/5/21,143
2015/5/22,203
2015/5/23,240
2015/5/24,257
2015/5/25,203
2015/5/26,187
2015/5/27,283
2015/5/28,230
2015/5/29,170
2015/5/30,243
2015/5/31,301
2015/6/1,311
2015/6/2,207
2015/6/3,125
2015/6/4,163
2015/6/5,312
2015/6/6,313
2015/6/7,163
2015/6/8,162
2015/6/9,297
2015/6/10,183
2015/6/11,306
2015/6/12,319
2015/6/13,314
2015/6/14,233
2015/6/15,253
2015/6/16,183
2015/6/17,138
2015/6/18,138
2015/6/19,280
2015/6/20,230
2015/6/21,287
2015/6/22,162
2015/6/23,306
2015/6/24,306
2015/6/25,280
2015/6/26,227
2015/6/27,150
2015/6/28,150
2015/6/29,230
2015/6/30,311
2015/7/1,223
2015/7/2,308
2015/7/3,327
2015/7/4,301
2015/7/5,157
2015/7/6,133
2015/7/7,138
2015/7/8,160
2015/7/9,177
2015/7/10,143
2015/7/11,125
2015/7/12,162
2015/7/13,318
2015/7/14,325
2015/7/15,170
2015/7/16,160
2015/7/17,203
2015/7/18,143
2015/7/19,125
2015/7/20,127
2015/7/21,240
2015/7/22,220
2015/7/23,210
2015/7/24,227
2015/7/25,301
2015/7/26,318
2015/7/27,297
2015/7/28,302
2015/7/29,293
2015/7/30,210
2015/7/31,247
2015/8/1,306
2015/8/2,301
2015/8/3,267
2015/8/4,263
2015/8/5,233
2015/8/6,130
2015/8/7,125
2015/8/8,138
2015/8/9,138
2015/8/10,138
2015/8/11,162
2015/8/12,180
2015/8/13,302
2015/8/14,223
2015/8/15,162
2015/8/16,197
2015/8/17,267
2015/8/18,297
2015/8/19,162
2015/8/20,227
2015/8/21,162
2015/8/22,150
2015/8/23,150
2015/8/24,162
2015/8/25,210
2015/8/26,280
2015/8/27,335
2015/8/28,332
2015/8/29,325
2015/8/30,315
2015/8/31,257
2015/9/1,280
2015/9/2,313
2015/9/3,323
2015/9/4,325
2015/9/5,247
2015/9/6,203
2015/9/7,138
2015/9/8,138
2015/9/9,125
2015/9/10,138
2015/9/11,162
2015/9/12,280
2015/9/13,193
2015/9/14,150
2015/9/15,138
2015/9/16,138
2015/9/17,153
2015/9/18,193
2015/9/19,138
2015/9/20,237
2015/9/21,223
2015/9/22,187
2015/9/23,197
2015/9/24,138
2015/9/25,163
2015/9/26,193
2015/9/27,170
2015/9/28,160
2015/9/29,150
2015/9/30,162
2015/10/1,177
2015/10/2,200
2015/10/3,230
2015/10/4,163
2015/10/5,143
2015/10/6,138
2015/10/7,125
2015/10/8,188
2015/10/9,319
2015/10/10,280
2015/10/11,250
2015/10/12,337
2015/10/13,341
2015/10/14,337
2015/10/15,180
2015/10/16,247
2015/10/17,187
2015/10/18,260
2015/10/19,253
2015/10/20,233
2015/10/21,263
2015/10/22,331
2015/10/23,297
2015/10/24,293
2015/10/26,290
2015/10/27,287
2015/10/28,326
2015/10/29,322
2015/10/30,263
2015/10/31,207
2015/11/1,162
2015/11/2,237
2015/11/3,346
2015/11/4,334
2015/11/5,240
2015/11/6,253
2015/11/7,188
2015/11/8,300
2015/11/9,333
2015/11/10,334
2015/11/11,310
2015/11/12,243
2015/11/13,319
2015/11/14,318
2015/11/15,351
2015/11/16,345
2015/11/17,324
2015/11/18,210
2015/11/19,180
2015/11/20,223
2015/11/21,293
2015/11/22,214
2015/11/23,200
2015/11/24,227
2015/11/25,160
2015/11/26,220
2015/11/27,320
2015/11/28,300
2015/11/29,324
2015/11/30,329
2015/12/1,348
2015/12/2,312
2015/12/3,326
2015/12/4,314
2015/12/5,305
2015/12/6,325
2015/12/7,341
2015/12/8,320
2015/12/9,217
2015/12/10,263
2015/12/11,273
2015/12/12,317
2015/12/13,309
2015/12/14,320
2015/12/15,365
2015/12/16,417
2015/12/17,322
2015/12/18,304
2015/12/19,313
2015/12/20,260
2015/12/21,293
2015/12/22,359
2015/12/23,336
2015/12/24,395
2015/12/25,314
2015/12/26,379
2015/12/27,343
2015/12/28,320
2015/12/29,267
2015/12/30,319
2015/12/31,327
2016/1/1,365
2016/1/4,358
2016/3/14,314
2016/3/15,320
2016/3/16,273
2016/3/17,290
2016/3/18,270
2016/3/19,334
2016/3/20,280
2016/3/21,315
2016/3/22,316
2016/3/23,283
2016/3/24,253
2016/3/25,163
2016/3/26,247
2016/3/27,341
2016/3/28,335
2016/3/29,325
2016/3/30,328
2016/3/31,310
2016/4/1,336
2016/4/2,319
2016/4/3,315
2016/4/4,193
2016/4/5,167
2016/4/6,227
2016/4/7,315
2016/4/8,301
2016/4/9,283
2016/4/10,326
2016/4/11,300
2016/4/12,306
2016/4/13,333
2016/4/14,347
2016/4/15,319
2016/4/16,207
2016/4/17,309
2016/4/18,177
2016/4/19,190
2016/4/20,162
2016/4/21,283
2016/4/22,335
2016/4/23,287
2016/4/24,305
2016/4/25,302
2016/4/26,290
2016/4/27,306
2016/4/28,338
2016/4/29,348
2016/4/30,320
2016/5/1,309
2016/5/2,250
2016/5/3,237
2016/5/4,304
2016/5/5,247
2016/5/6,316
2016/5/7,323
2016/5/8,200
2016/5/9,306
2016/5/10,188
2016/5/11,332
2016/5/12,312
2016/5/13,328
2016/5/14,243
2016/5/15,213
2016/5/16,287
2016/5/17,187
2016/5/18,230
2016/5/19,303
2016/5/20,187
2016/5/21,150
2016/5/22,303
2016/5/23,326
2016/5/24,336
2016/5/25,326
2016/5/26,330
2016/5/27,223
2016/5/28,200
2016/5/29,287
2016/5/30,315
2016/5/31,321
2016/6/1,143
2016/6/2,270
2016/6/3,150
2016/6/4,243
2016/6/5,193
2016/6/6,253
2016/6/7,267
2016/6/8,220
2016/6/9,193
2016/6/10,190
2016/6/11,277
2016/6/12,143
2016/6/13,187
2016/6/14,233
2016/6/15,311
2016/6/16,335
2016/6/17,316
2016/6/18,167
2016/6/19,137
2016/6/20,150
2016/6/21,267
2016/6/22,230
2016/6/23,302
2016/6/24,277
2016/6/25,243
2016/6/26,210
2016/6/27,200
2016/6/28,302
2016/6/29,150
2016/6/30,170
2016/7/1,170
2016/7/2,162
2016/7/3,243
2016/7/4,230
2016/7/5,133
2016/7/6,125
2016/7/7,125
2016/7/8,125
2016/7/9,125
2016/7/10,125
2016/7/11,150
2016/7/12,287
2016/7/13,307
2016/7/14,283
2016/7/15,303
2016/7/16,310
2016/7/17,321
2016/7/18,193
2016/7/19,197
2016/7/20,227
2016/7/21,273
2016/7/22,283
2016/7/23,250
2016/7/24,277
2016/7/25,150
2016/7/26,230
2016/7/27,300
2016/7/28,319
2016/7/29,325
2016/7/30,253
2016/7/31,125
2016/8/1,125
2016/8/2,138
2016/8/3,150
2016/8/4,180
2016/8/5,133
2016/8/6,125
2016/8/7,125
2016/8/8,112
2016/8/9,125
2016/8/10,138
2016/8/11,125
2016/8/12,138
2016/8/13,125
2016/8/14,138
2016/8/15,138
2016/8/16,138
2016/8/17,138
2016/8/18,138
2016/8/19,150
2016/8/20,170
2016/8/21,153
2016/8/22,150
2016/8/23,162
2016/8/24,150
2016/8/25,167
2016/8/26,138
2016/8/27,162
2016/8/28,177
2016/8/29,183
2016/8/30,227
2016/8/31,277
2016/9/1,322
2016/9/2,327
2016/9/3,315
2016/9/4,247
2016/9/5,190
2016/9/6,273
2016/9/7,263
2016/9/8,325
2016/9/9,315
2016/9/10,315
2016/9/11,309
2016/9/12,217
2016/9/13,170
2016/9/14,138
2016/9/15,125
2016/9/16,125
2016/9/17,150
2016/9/18,160
2016/9/19,125
2016/9/20,125
2016/9/21,125
2016/9/22,125
2016/9/23,137
2016/9/24,193
2016/9/25,183
2016/9/26,112
2016/9/27,112
2016/9/28,138
2016/9/29,162
2016/9/30,200
2016/10/1,293
2016/10/2,162
2016/10/3,125
2016/10/4,138
2016/10/5,180
2016/10/6,127
2016/10/7,125
2016/10/8,100
2016/10/9,112
2016/10/10,112
2016/10/11,125
2016/10/12,177
2016/10/13,127
2016/10/14,160
2016/10/15,150
2016/10/16,227
2016/10/17,183
2016/10/18,138
2016/10/19,170
2016/10/20,160
2016/10/21,125
2016/10/22,125
2016/10/23,138
2016/10/24,175
2016/10/25,223
2016/10/26,163
2016/10/27,150
2016/10/28,173
2016/10/29,137
2016/10/31,112
2016/11/1,133
2016/11/2,125
2016/11/3,207
2016/11/4,326
2016/11/5,328
2016/11/6,329
2016/11/7,318
2016/11/8,230
2016/11/9,127
2016/11/10,150
2016/11/11,263
2016/11/12,313
2016/11/13,277
2016/11/14,318
2016/11/15,338
2016/11/16,283
2016/11/17,138
2016/11/18,175
2016/11/19,316
2016/11/20,346
2016/11/21,302
2016/11/22,213
2016/11/23,125
2016/11/24,183
2016/11/25,320
2016/11/26,315
2016/11/27,253
2016/11/28,345
2016/11/29,315
2016/11/30,175
2016/12/1,305
2016/12/2,345
2016/12/3,227
2016/12/4,200
2016/12/5,325
2016/12/6,350
2016/12/7,300
2016/12/8,343
2016/12/9,352
2016/12/10,332
2016/12/11,140
2016/12/12,175
2016/12/13,233
2016/12/14,267
2016/12/15,175
2016/12/16,325
2016/12/17,366
2016/12/18,351
2016/12/19,263
2016/12/20,327
2016/12/21,305
2016/12/22,240
2016/12/23,336
2016/12/24,368
2016/12/25,197
2016/12/26,175
2016/12/27,162
2016/12/28,250
2016/12/29,302
2016/12/30,324
2016/12/31,310
2017/1/1,305
2017/1/2,280
